
1s
1s
0s
Run actions/setup-node@v4
Found in cache @ /opt/hostedtoolcache/node/20.20.2/x64
Environment details
3m 28s
Run node check-script.js
=== GitHub Actions 检测开始 ===

📊 分组数: 6
🚫 黑名单: 6 条

📋 待检测IP总数: 1679

[*] 第一阶段(测速)开始: 1679 个IP
    [+] 有效IP: 59.28.83.136:10250    | 延迟: 616ms | 机房: ICN
    [+] 有效IP: 222.100.246.4:11371   | 延迟: 621ms | 机房: ICN
    [+] 有效IP: 218.157.145.120:18853 | 延迟: 765ms | 机房: ICN
    [+] 有效IP: 222.107.236.137:28080 | 延迟: 610ms | 机房: ICN
    [+] 有效IP: 222.108.11.126:29090  | 延迟: 700ms | 机房: ICN
    [+] 有效IP: 210.90.248.27:35342   | 延迟: 604ms | 机房: ICN
    [+] 有效IP: 221.158.4.230:18853   | 延迟: 725ms | 机房: ICN
    [+] 有效IP: 121.179.246.27:10255  | 延迟: 745ms | 机房: ICN
    [+] 有效IP: 175.215.188.34:26214  | 延迟: 703ms | 机房: ICN
    [+] 有效IP: 211.229.31.159:11434  | 延迟: 707ms | 机房: ICN
    [+] 有效IP: 222.117.230.38:11965  | 延迟: 599ms | 机房: ICN
    [+] 有效IP: 183.106.98.199:10332  | 延迟: 704ms | 机房: ICN
    [+] 有效IP: 112.171.78.221:18853  | 延迟: 617ms | 机房: ICN
    [+] 有效IP: 211.199.125.158:32677 | 延迟: 679ms | 机房: ICN
    [+] 有效IP: 221.164.228.56:25448  | 延迟: 611ms | 机房: ICN
    [+] 有效IP: 218.147.120.66:11434  | 延迟: 799ms | 机房: ICN
    [+] 有效IP: 59.20.141.38:37020    | 延迟: 797ms | 机房: ICN
    [+] 有效IP: 112.163.209.76:33890  | 延迟: 1505ms | 机房: ICN
    [+] 有效IP: 220.90.53.189:32677   | 延迟: 714ms | 机房: ICN
    [+] 有效IP: 218.159.7.21:25448    | 延迟: 614ms | 机房: ICN
[*] 第一阶段进度: 300/1679 | 有效: 293 | 失效: 7
    [+] 有效IP: 222.119.218.222:25448 | 延迟: 731ms | 机房: ICN
    [+] 有效IP: 61.83.98.191:14534    | 延迟: 806ms | 机房: ICN
    [+] 有效IP: 119.203.217.216:14430 | 延迟: 663ms | 机房: ICN
    [+] 有效IP: 59.3.62.210:32677     | 延迟: 706ms | 机房: ICN
    [+] 有效IP: 115.21.253.43:35342   | 延迟: 722ms | 机房: ICN
    [+] 有效IP: 61.78.173.61:11434    | 延迟: 615ms | 机房: ICN
    [+] 有效IP: 121.149.124.119:11211 | 延迟: 806ms | 机房: ICN
    [+] 有效IP: 211.107.129.252:37215 | 延迟: 657ms | 机房: ICN
    [+] 有效IP: 175.199.52.176:18853  | 延迟: 706ms | 机房: ICN
    [+] 有效IP: 59.17.184.164:27016   | 延迟: 802ms | 机房: ICN
    [+] 有效IP: 121.169.25.54:18853   | 延迟: 793ms | 机房: ICN
    [+] 有效IP: 118.41.215.202:14430  | 延迟: 624ms | 机房: ICN
    [+] 有效IP: 59.10.72.49:18852     | 延迟: 820ms | 机房: ICN
    [+] 有效IP: 118.39.2.62:20005     | 延迟: 629ms | 机房: ICN
    [+] 有效IP: 118.36.141.27:12345   | 延迟: 787ms | 机房: ICN
    [+] 有效IP: 59.14.250.163:18852   | 延迟: 814ms | 机房: ICN
    [+] 有效IP: 221.167.19.89:34567   | 延迟: 608ms | 机房: ICN
    [+] 有效IP: 59.24.36.86:11434     | 延迟: 1054ms | 机房: ICN
    [+] 有效IP: 14.41.44.168:12300    | 延迟: 637ms | 机房: ICN
    [+] 有效IP: 183.105.194.189:18852 | 延迟: 818ms | 机房: ICN
    [+] 有效IP: 221.147.173.70:25448  | 延迟: 809ms | 机房: ICN
    [+] 有效IP: 183.104.92.31:15714   | 延迟: 1048ms | 机房: ICN
    [+] 有效IP: 14.63.31.79:30005     | 延迟: 975ms | 机房: ICN
    [+] 有效IP: 220.87.185.18:25448   | 延迟: 639ms | 机房: ICN
    [+] 有效IP: 59.5.207.122:10912    | 延迟: 603ms | 机房: ICN
    [+] 有效IP: 121.155.96.222:30005  | 延迟: 703ms | 机房: ICN
    [+] 有效IP: 118.36.251.241:18853  | 延迟: 813ms | 机房: ICN
    [+] 有效IP: 221.149.34.13:10909   | 延迟: 1286ms | 机房: ICN
    [+] 有效IP: 222.104.20.164:10911  | 延迟: 996ms | 机房: ICN
    [+] 有效IP: 222.108.243.194:11211 | 延迟: 818ms | 机房: ICN
    [+] 有效IP: 112.163.117.142:30005 | 延迟: 791ms | 机房: ICN
    [+] 有效IP: 211.174.68.167:14430  | 延迟: 624ms | 机房: ICN
    [+] 有效IP: 59.7.190.194:22222    | 延迟: 623ms | 机房: ICN
    [+] 有效IP: 59.19.184.8:20005     | 延迟: 827ms | 机房: ICN
    [+] 有效IP: 121.158.3.191:32677   | 延迟: 605ms | 机房: ICN
